SWIR1,SWIR2,Blue,Green,Red,RedEdge1,RedEdge2,RedEdge3,NIR,NIR_Narrow,NDMI,NDVI,NDWI,Longitude,Latitude
365,187,422,542,320,355,444,491,574,507,0.22257721424102783,0.28411632776260376,-0.02867383509874344,107.3447687807969,11.637270263890548
1802,805,260,440,277,815,2426,3111,3332,3520,0.29801324009895325,0.8464948534965515,-0.7667019963264465,107.39210999627,11.758003838076212
1919,916,349,520,342,910,2314,2860,2638,3166,0.1577792465686798,0.7704697847366333,-0.670677661895752,107.19277383472388,11.548876039933186
1991,901,294,522,326,850,2220,2838,3067,3221,0.21273230016231537,0.8078396916389465,-0.7091111540794373,107.30443442453993,11.711201611773584
2021,922,317,498,308,853,2299,2959,3021,3369,0.1983339935541153,0.8149594664573669,-0.7169650197029114,107.24065403936744,11.501444992931676
1824,804,266,455,272,814,2458,3146,3333,3528,0.2926119863986969,0.8490985035896301,-0.7597677111625671,107.3815997074458,11.73904938558129
1901,887,348,525,323,882,2613,3380,3272,3732,0.2650299668312073,0.8203060030937195,-0.7234659194946289,107.2733527157094,11.39670143080334
2229,987,309,544,313,977,2764,3613,3689,3884,0.24670496582984924,0.8435782194137573,-0.7429718971252441,107.52461150067762,11.732042526365156
1666,725,335,552,326,833,2570,3337,3697,3724,0.3787059485912323,0.8379318714141846,-0.7401741743087769,107.30524290829564,11.435957808719362
2318,1259,470,652,612,1002,2003,2369,2328,2705,0.002152389148250222,0.5836734771728516,-0.562416136264801,107.3259939913588,11.498660215550904
2220,1004,440,678,400,1104,3222,4034,4144,4408,0.302325576543808,0.8239436745643616,-0.7187888622283936,107.30524290829564,11.62963458397553
1885,844,358,529,324,852,2375,3038,3113,3421,0.24569827318191528,0.811463475227356,-0.709500253200531,107.24514561578805,11.372267255075288
1722,775,374,574,357,822,2382,3041,3276,3374,0.31092438101768494,0.8034682273864746,-0.7018181681632996,107.16717184912646,11.549684523688894
1875,859,351,524,346,788,2185,2832,2922,3189,0.21826142072677612,0.788249671459198,-0.6958792805671692,107.26895097081722,11.412242285218607
2285,1154,436,694,479,1100,2380,2876,2878,3195,0.11485570669174194,0.714626133441925,-0.6114221811294556,107.33695343782506,11.476112501919506
2272,1042,362,626,338,991,3029,3904,4408,4264,0.3197604715824127,0.8575642704963684,-0.7512912154197693,107.33255169293287,11.617686990696741
1600,704,349,485,322,832,2561,3137,2954,3428,0.29732102155685425,0.8034188151359558,-0.7179412841796875,107.26859164470356,11.515818037477588
1698,766,318,480,307,783,2153,2739,2602,3019,0.21023255586624146,0.7889308929443359,-0.6885139346122742,107.37809627783773,11.514021406909348
2078,931,311,568,313,915,2915,3722,4165,4123,0.3342944085597992,0.8602054715156555,-0.7599831223487854,107.34108568813201,11.748751190649779
1984,853,439,666,447,931,2702,3574,3843,3910,0.31903210282325745,0.7916083931922913,-0.7045907974243164,107.3034462777274,11.429220444088466
2091,933,350,628,386,1061,2818,3596,3678,3954,0.2750909924507141,0.8100393414497375,-0.7083140015602112,107.49820103132451,11.715513525137357
1884,846,351,534,324,878,2329,2956,2829,3261,0.2005092352628708,0.7944814562797546,-0.682426393032074,107.25951866033395,11.381699565558543
1592,663,237,437,259,789,2713,3500,3432,3833,0.36624205112457275,0.8596586585044861,-0.7741018533706665,107.52461150067762,11.791331335117045
1644,731,304,474,263,823,2471,3127,3018,3490,0.2947233021259308,0.8396829962730408,-0.7285223603248596,107.28637828732913,11.4009235126387
2300,1112,435,682,449,1047,2729,3309,3689,3766,0.23192518949508667,0.7829869389533997,-0.6879432797431946,107.20022985158207,11.547169240893359
1848,835,341,658,411,1141,2748,3372,3821,3781,0.3480331599712372,0.8057655692100525,-0.7061843872070312,107.3003920057614,11.640234704328142
1838,806,270,452,262,832,2472,3208,3220,3630,0.27323052287101746,0.8495118021965027,-0.7538126111030579,107.34863153651861,11.716681335006713
1903,911,310,522,302,864,2179,2731,2646,3030,0.16333259642124176,0.7951153516769409,-0.6704545617103577,107.4433139674648,11.506834884636392
1917,907,376,574,398,943,2167,2630,2730,2948,0.17495158314704895,0.7455242872238159,-0.6525423526763916,107.44663773401605,11.468566653532902
2030,913,286,553,293,909,2502,3219,3188,3495,0.22192411124706268,0.8316575884819031,-0.7043571472167969,107.51077744530218,11.70644054076775
2240,971,301,588,329,998,2803,3599,3584,3986,0.23076923191547394,0.8318426012992859,-0.718120813369751,107.50475873289858,11.77309553484942
1780,735,250,433,237,772,2343,2999,3168,3311,0.2805173695087433,0.8607929348945618,-0.7595112323760986,107.35986047757011,11.661973934203834
1685,732,332,497,291,855,2450,3162,3375,3498,0.3339920938014984,0.8412438631057739,-0.7432851195335388,107.28332401536312,11.477370143317271
1436,613,309,489,289,813,2392,3021,3164,3274,0.37565216422080994,0.8326092958450317,-0.7322748303413391,107.29095969527813,11.43353235745224
1618,695,352,583,306,819,2502,3156,3960,3554,0.419863760471344,0.8565400838851929,-0.7433413863182068,107.29913436436362,11.418620323735855
1797,779,416,595,379,868,2614,3314,3508,3682,0.32252591848373413,0.8049910068511963,-0.7099683284759521,107.22852678303182,11.384664005996138
2215,998,324,550,342,942,2749,3566,3488,3954,0.22321584820747375,0.8214099407196045,-0.7275879383087158,107.29078003222132,11.722250889768254
1710,728,302,497,283,841,2626,3393,3425,3715,0.3339824676513672,0.8473570942878723,-0.746557891368866,107.32509567607468,11.425447519895163
1516,669,293,445,261,739,2254,2960,2790,3234,0.2958662211894989,0.8289085626602173,-0.7248840928077698,107.22987425595801,11.435688314134126
1911,875,304,504,336,865,2215,2784,2801,3194,0.18887946009635925,0.7857825756072998,-0.6950075626373291,107.30982431624464,11.631610877600593
1957,917,374,640,335,944,2446,3083,3172,3415,0.23688828945159912,0.8089535236358643,-0.6642182469367981,107.20813502608232,11.522555402108484
1930,852,368,618,351,976,2797,3612,3812,3965,0.32776036858558655,0.8313716053962708,-0.7209932208061218,107.24793039316882,11.404606605303591
1909,866,302,538,320,930,2492,3118,3156,3482,0.24619941413402557,0.815880298614502,-0.7087168097496033,107.27667648226064,11.663860396300485
1996,886,320,548,302,882,2838,3641,4064,4084,0.3412541151046753,0.8616582751274109,-0.762359082698822,107.32392786620532,11.404876099888828
1883,858,313,520,318,847,2492,3189,3219,3553,0.26185810565948486,0.8201866149902344,-0.7218507528305054,107.34979934638797,11.420776280417742
1874,877,316,490,313,803,2237,2876,2916,3253,0.2175365388393402,0.8061319589614868,-0.7122724652290344,107.23229970722514,11.483119361135637
1752,813,311,531,304,881,2287,2839,2872,3141,0.24221453070640564,0.8085642457008362,-0.6879224181175232,107.44043935855562,11.512584102454758
1537,696,342,513,321,762,2220,2869,3331,3234,0.36852917075157166,0.8242059350013733,-0.7330905199050903,107.2132554232018,11.452217315361926
1816,919,378,531,483,1008,1977,2407,2617,2855,0.18069027364253998,0.6883870959281921,-0.6626429557800293,107.22475385883853,11.43811376540125
1761,801,302,494,324,844,2224,2893,2921,3136,0.24775737524032593,0.8003081679344177,-0.7106881141662598,107.30623105510817,11.642839818652089
